cnp_codigo,cnp_glosa,cnp_descripcion,cnp_familia,iccs_elegido,iccs_glosa_elegida,confianza,justificacion,exclusiones_aplicadas
552,Asociación ilícita para la comisión de simples delitos,"Sanciona a a quien sea parte de una asociación delictiva. Se entenderá por asociación delictiva toda organización formada por tres o más personas, con acción sostenida en el tiempo, que tenga entre sus fines la perpetración de simples delitos.",CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,9051,Participación en un grupo delictivo organizado,alta,"El delito CNP describe una asociación delictiva con fines de cometer simples delitos, lo que se alinea con la definición de 'Participación en un grupo delictivo organizado' en el ICCS 9051. La nota 132 del ICCS define un grupo delictivo organizado como una estructura de tres o más personas que actúan concertadamente con el propósito de cometer delitos, lo cual coincide con la descripción del CNP. Además, el ICCS 9051 no excluye directamente el delito descrito en el CNP, a diferencia de otros candidatos como 905 y 8063, que tienen exclusiones aplicables.",aplicar todas las exclusiones enumeradas en 0905
553,Asociación ilícita para la comisión de simples crímenes,"Sanciona a quien sea parte de una asociación criminal. Se entenderá por asociación criminal toda organización formada por tres o más personas, con acción sostenida en el tiempo, que tenga entre sus fines la perpetración de hechos constitutivos de crímenes.",CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,9051,Participación en un grupo delictivo organizado,alta,"El delito CNP describe la participación en una asociación criminal con fines delictivos, lo que se alinea directamente con la definición de 'Participación en un grupo delictivo organizado' en el ICCS 9051. La nota 132 del ICCS 9051 define claramente un grupo delictivo organizado como una estructura de tres o más personas que actúan concertadamente con el propósito de cometer delitos graves, lo cual coincide con la descripción del CNP. Además, las exclusiones del ICCS 9051 no aplican al delito CNP, ya que no se trata de un delito cometido mediante la participación en un grupo delictivo organizado, sino de la formación de dicho grupo.",
554,Amenaza u ofrecimiento de beneficio económico para prestar falso testimonio u omitir declarar en proceso por asociación ilícita,"Sanciona al que, en un proceso por asociación delictiva o criminal, amenace o constriña a otro con el propósito de prestar falso testimonio, omita declarar u ofrezca un beneficio económico para los mismos fines.",CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,8061,Obstrucción de la justicia,alta,"El delito CNP se relaciona con la obstrucción de la justicia, ya que implica amenazar o intimidar a un testigo o omitir declarar en un proceso judicial. El código ICCS 8061 abarca el rendir testimonio falso, amenazar a un testigo, y otros actos que obstaculizan la justicia, lo cual coincide con la descripción del delito CNP. No se aplican exclusiones que descarten este código.",
597,Declaración falsa denunciante anónimo,Quien solicite que se le otorgue la calidad de denunciante anónimo aportando antecedentes falsos o fraudulentos.,CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,7019,Otros actos de fraude,alta,"El delito CNP implica la presentación de antecedentes falsos para obtener la calidad de denunciante anónimo, lo cual se ajusta a la definición de 'Otros actos de fraude' en el ICCS 7019. Este código incluye la representación engañosa de la identidad o situación profesional, lo cual se alinea con la falsificación de antecedentes. No se aplican exclusiones que descarten este código.",
599,Otros delitos contra el orden y la seguridad pública cometidos por particulares,Sin descripción,CONTRA EL ORDEN Y LA SEGURIDAD PÚBLICA COMETIDO POR PARTICULARES,8012,Actos relacionados con las normas y preceptos sociales y religiosos orientados al mantenimiento del orden público,alta,"El delito CNP 599 se describe como otros delitos contra el orden y la seguridad pública cometidos por particulares, lo cual se alinea con la glosa de 8012 que menciona actos contrarios a normas y preceptos sociales y religiosos orientados al mantenimiento del orden público. Las inclusiones de 8012, como alteración del orden público, vagabundeo, mendicidad, etc., son compatibles con la falta de descripción específica del delito CNP. No se aplican exclusiones que descarten este código.",
601,Aborto,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",106,Feticidio ilegal,alta,"El delito CNP 601 (Aborto) se clasifica como feticidio ilegal según la inclusión explícita en el código ICCS 106, que menciona el aborto ilegal como inclusión. No hay exclusiones que descarten este delito en este contexto.",
602,Abandono de niños,Dejar a un menor sin la asistencia ni el socorro correspondiente.,"CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",20611,Negligencia en situaciones de menores bajo cuidado,alta,"El delito CNP 602 (Abandono de niños) se describe como dejar a un menor sin la asistencia ni el socorro correspondiente. El código ICCS 20611 incluye la desatención de niños y abandono de niños, lo cual coincide directamente con la definición del delito nacional. Las exclusiones no descartan este delito, ya que se refieren a negligencia en situaciones de menores bajo cuidado, que es precisamente el caso.",
603,Abandono de cónyuge o de parientes enfermos,Dejar sin asistencia al cónyuge o parientes con problemas para valerse por sí mismos (enfermo o imposibilitado).,"CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",20612,Negligencia en situaciones de otras personas dependientes bajo cuidado,alta,"El delito CNP se relaciona con el abandono de personas enfermas o imposibilitadas, lo cual se ajusta a la negligencia en situaciones de otras personas dependientes bajo cuidado, descrito en el código ICCS 20612. La descripción del ICCS 20612 menciona el abandono de personas de edad avanzada que requieren atención, lo cual coincide con el abandono de cónyuge o parientes enfermos. Además, las exclusiones del ICCS 20612 no descartan este delito.",
604,Usurpación de estado civil,"Apoderarse del estado civil ajeno. Implica no sólo el uso de nombre de otra persona, sino que la realización de todos sus actos sociales y jurídicos.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta,"El delito de usurpación de estado civil se relaciona con actos que afectan el orden público y la autoridad estatal, lo cual se alinea con la glosa de 809. No se descarta por exclusiones, ya que no se menciona en las exclusiones de este código.",
605,Inducir a un menor a abandonar el hogar,"Persuadir a un menor de edad, pero mayor de 10 años a que abandone la casa de sus padres, guardadores o encargados de su persona.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",11021,Delitos en razón de la condición de menor de edad,alta,"El delito CNP se enmarca en actos que afectan a menores, específicamente induciéndolos a abandonar el hogar. El código ICCS 11021 abarca delitos en razón de la condición de menor de edad, incluyendo la inducción a abandonar el hogar. No hay exclusiones que descarten este delito en este código.",
606,Rapto,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8021,Delitos de prostitución,alta,"El delito de rapto (CNP 606) se relaciona con la privación de libertad de una persona, lo cual se alinea con el delito de prostitución en el ICCS 8021, que incluye actos orientados al mantenimiento del orden público en lo que se refiere a la prostitución. No hay exclusiones que descarten este código para el delito de rapto.",
607,Violación,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 607 (Violación) se ajusta a la glosa de 8029, que abarca formas ilícitas de contacto sexual, incluyendo violación. La sección ICCS corresponde a actos contra el orden público, lo que es compatible con el marco legal del delito. Las exclusiones de 8029 no descartan el delito CNP, ya que no incluyen violación como exclusión.",
608,Estupro,"Acceder carnalmente, por vía vaginal, anal o bucal a una persona menor de edad, pero mayor de catorce años si se abusa de su anomalía o perturbación mental, aun transitoria, abusando de una relación de dependencia de la víctima (como cuando se está encargado de su educación, custodia o se tiene una relación laboral), abusando del grave desamparo de la víctima o cuando se le engaña abusando de su inexperiencia o ignorancia sexual.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30113,Violación por presunción legal,alta,"El delito CNP describe la penetración carnal de una persona menor de edad, lo que se alinea con la definición de 'Violación por presunción legal' en el ICCS 30113. Este código incluye la penetración sexual de una persona menor de la edad mínima de consentimiento, lo cual coincide con la descripción del delito. Además, el código 30113 excluye actos que no son de naturaleza sexual, lo cual es compatible con el delito descrito.",Aplicar todas las exclusiones enumeradas en 03011
609,Incesto,El que conociendo las relaciones que lo ligan comete incesto con un ascendiente o descendente por consanguinidad o con un hermano consanguíneo.,"CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El incesto se incluye explícitamente en la glosa de 8029 como uno de los actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público. Además, la sección ICCS corresponde a actos contra el orden público, lo que se alinea con la naturaleza del delito CNP. No hay exclusiones que descarten el incesto en este contexto.",
610,Promover o facilitar prostitución de menores,"El que promueve o facilita la prostitución de menores de edad para satisfacer los deseos de otro. Aumenta la pena si hay habitualidad, abuso de confianza, autoridad o engaño.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30222,Prostitución infantil,alta,"El delito CNP se refiere a la prostitución de menores, lo cual se alinea directamente con la definición de 'Prostitución infantil' en el ICCS 30222. La exclusión de 'explotación de prostitutas' y 'prostitución infantil' en el ICCS 8021 lo descarta como opción válida. El ICCS 30222 incluye la captación, persuasión o adquisición de un menor con fines de prostitución, lo cual coincide con la descripción del delito CNP.",explotación de prostitutas (0302); prostitución infantil (030222); aplicar todas las exclusiones enumeradas en 0802
611,Sodomía,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito de sodomía en el CNP se clasifica como acto sexual consensual ilícito entre personas del mismo sexo, lo cual está incluido en el código ICCS 8029. No se aplica ninguna exclusión relevante para este delito.",
612,Violación sodomítica,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 612 (Violación sodomítica) se clasifica como acto contra las normas de conducta sexual orientadas al mantenimiento del orden público, lo cual coincide con la glosa de 8029. La inclusión de 'sodomía que no constituye un acto lesivo de naturaleza sexual' en 8029 lo hace compatible con el delito CNP, ya que no se considera un acto lesivo sexual. Además, la sección ICCS (Actos contra el orden público) es compatible con el marco jurídico del delito.",Aplicar todas las exclusiones enumeradas en 0802
613,Abusos deshonestos,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 613 (Abusos deshonestos) se relaciona con actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público, lo cual coincide con la glosa de 8029. La sección ICCS es compatible (Actos contra el orden público), y las inclusiones de 8029 abarcan formas ilícitas de contacto sexual, que pueden incluir los abusos deshonestos. No hay exclusiones que descarten la aplicación de 8029 para este delito.",
614,Trata de blancas,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 614 (Trata de blancas) se relaciona con actos que buscan explotar a personas, lo que se alinea con la glosa de 8029, que abarca actos contrarios a normas de conducta sexual orientadas al mantenimiento del orden público. La sección ICCS es compatible, y las inclusiones de 8029 incluyen la trata de personas con fines de explotación sexual, lo cual se ajusta al delito nacional. No se aplican exclusiones que descarten este código.",
615,Ultraje público a las buenas costumbres,Ofender el pudor o las buenas costumbres con hechos de grave escándalo o trascendencia no comprendidos en otros artículos del C.P.,"CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 615 se relaciona con ofender el pudor o las buenas costumbres con hechos de grave escándalo, lo cual se alinea con la glosa de 8029 que menciona actos contrarios a normas de conducta sexual orientadas al mantenimiento del orden público. Además, la nota 108 de 8029 incluye comportamientos que pueden ser ofensivos para el público, lo cual se ajusta al delito descrito. No hay exclusiones que descarten este código para el delito CNP.",
616,Difusión de material pornográfico (pornografía).,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8022,Delitos de pornografía,alta,"El delito CNP 616 se refiere a la difusión de material pornográfico, lo cual se alinea directamente con el código ICCS 8022 que abarca la producción, distribución y posesión de pornografía ilícita. No hay exclusiones que descarten este código para el delito descrito.",
617,Bigamia,Contraer matrimonio estando válidamente casado.,"CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito de bigamia se encuentra explícitamente incluido en el código ICCS 8029, que abarca actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público. No se aplican exclusiones que descarten el delito, y la sección ICCS es compatible con el marco jurídico del delito.",
618,Delitos de significación sexual,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 618 se describe como 'Delitos de significación sexual', lo cual se alinea con la glosa de 8029 que abarca 'otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público'. La sección ICCS es compatible (Actos contra el orden público), y las inclusiones de 8029 incluyen formas ilícitas de contacto sexual, incesto, actos sexuales consensuales ilícitos entre personas del mismo sexo, bestialismo, necrofilia, etc., que son relevantes para el delito descrito. No hay exclusión que descarte el delito CNP en este código.",
619,Abuso sexual sin contacto corporal de mayor de 14 años y menor de 18 años,"El que sin realizar una acción sexual, para procurar su excitación sexual o la excitación sexual de otro, realice acciones de significación sexual ante una persona menor de edad pero mayor de 14 años,  la hiciere ver o escuchar material pornográfico, presenciar espectáculos del mismo carácter o determine a una persona mayor de 14 años y menor de 18 años a realizar acciones de significación sexual delante suyo o de otro, concurriendo cualquiera de las circunstancias del numeral 1°del artículo 361 o de las enumeradas en el artículo 363; o mediante amenazas en los términos del artículo 296 y 297; o  ""cometido a distancia, mediante cualquier medio electrónico""; o falseando su identidad o edad.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30122,Agresión sexual no física,alta,"El delito CNP describe una agresión sexual sin contacto físico, lo que coincide con la definición de 'Agresión sexual no física' en el ICCS 30122. No se aplican exclusiones relevantes que descarten este código, y la sección 'Actos lesivos de naturaleza sexual' es compatible con el marco jurídico del delito.",
620,Abuso sexual sin contacto corporal de menor 14 años,"El que sin realizar una acción sexual para procurar su excitación sexual o la excitación sexual de otro realice acciones de significación sexual ante una persona menor de 14 años, la hiciere ver o escuchar material pornográfico, presenciar espectáculos del mismo carácter o determina a una persona menor de 14 años a realizar acciones de significación sexual delante suyo o de otro; o cometido a distancia mediante cualquier medio electrónico; o falseando su identidad o edad.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30122,Agresión sexual no física,alta,"El delito CNP describe una agresión sexual sin contacto físico, lo que coincide con la glosa de 30122. No hay exclusiones que descarten este delito, y la sección ICCS es compatible con el marco jurídico del delito.",
621,Violación de menor de 14 años,"Acceder carnalmente vía vaginal, anal o bucal a una persona menor de 14 años, aunque no concurra ninguna de las circunstancias de la violación.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30113,Violación por presunción legal,alta,"El delito CNP describe la penetración sexual de una menor de 14 años, lo cual coincide con la definición de 'Violación por presunción legal' en el ICCS 30113, que abarca la penetración sexual de una persona menor de la edad mínima de consentimiento. No hay exclusiones que descarten este código en relación con el delito descrito.",
622,Abuso sexual adulto,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 622 (Abuso sexual adulto) se ajusta a la glosa de 8029, que abarca actos contrarios a normas de conducta sexual orientadas al mantenimiento del orden público, incluyendo formas ilícitas de contacto sexual. No hay exclusión que descarte este delito, y la sección ICCS es compatible con el marco legal del delito.",
623,Abuso sexual con contacto corporal de menor de 14 años,"El que realiza una acción sexual distinta del acceso carnal con una persona menor de 14 años. Se entiende por acción sexual cualquier acto de significación sexual y de relevancia realizado mediante contacto corporal con la víctima o que haya afectado los genitales, el ano o la boca de la víctima aun cuando no hubiere contacto corporal con ella.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30113,Violación por presunción legal,alta,"El delito CNP describe una acción sexual con contacto corporal contra un menor de 14 años, lo que se alinea con la definición de 'violación por presunción legal' en el ICCS 30113, que incluye penetración sexual con una persona menor de la edad mínima de consentimiento. No se aplica la exclusión de violación (03011) ya que el delito CNP no menciona penetración, pero el ICCS 30113 abarca actos sexuales no deseados con menores.",Aplicar todas las exclusiones enumeradas en 03011
624,Aborto consentido por causales no reguladas,"Castiga al que, fuera de los casos permitidos por la Ley, maliciosamente causare un aborto con consentimiento de la mujer (342 N° 3° del Código Penal) y a la mujer que, fuera de los casos permitidos por la Ley, causare su aborto o consiente que otra persona se lo cause (344 del Código Penal).","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",106,Feticidio ilegal,alta,"El delito CNP 624 se refiere a un aborto ilegal con consentimiento de la mujer, lo que se alinea con la definición de feticidio ilegal en el ICCS 106, que incluye el aborto ilegal. No hay exclusiones que descarten este delito en el contexto del ICCS 106.",
625,Aborto sin consentimiento,"Penaliza a quien causa maliciosamente un aborto sin consentimiento de la mujer (342 N° 2 del Código Penal) y al que maliciosamente cause un aborto ejerciendo violencia en la persona de la mujer embarazada (342 N° 1 del Código Penal).Sanciona al que con violencias causare un aborto, aún sin propósito, con tal que el estado de embarazo sea notorio.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",106,Feticidio ilegal,alta,"El delito CNP 625 se refiere a la causa de un aborto sin consentimiento, lo cual se alinea con el concepto de feticidio ilegal en el ICCS 106, que incluye el aborto ilegal como parte de su definición. La exclusión de aborto legal/feticidio legal no aplica en este caso, ya que el delito CNP implica un aborto sin consentimiento, que se considera ilegal.",Aborto legal/feticidio legal
626,Trata de personas,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito de trata de personas (CNP 626) se relaciona con actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público, lo cual se describe en el ICCS 8029. Este código incluye la trata de personas con fines de explotación sexual, que no está excluida en este caso. Además, el modelo multilingual-e5 lo prioriza como el más relevante.",trata de personas con fines de explotación sexual (02041) no es una exclusión aplicable en este caso
627,Trata de personas calificada,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta,"El delito CNP 627 (Trata de personas calificada) se relaciona con la explotación de personas, lo cual se excluye explícitamente en el código ICCS 802 (sección Actos contra el orden público, la autoridad y las disposiciones del Estado). Sin embargo, el código 8029, que abarca otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público, incluye la trata de personas como parte de sus inclusiones, lo que lo hace compatible con el delito CNP. Además, el código 302 (explotación sexual) también menciona la trata de personas, pero se excluye explícitamente la trata de personas con fines de explotación sexual (02041) en el código 302, lo que lo descarta. Por lo tanto, el código 8029 es el más preciso y compatible con el delito CNP.",explotación de una persona para que se dedique a la prostitución o explotación de prostitutas (0302); trata de personas con fines de explotación sexual (02041)
628,Violación con homicidio o femicidio,"Castiga a quien, con ocasión de violación, cometiere además homicidio en la persona de la víctima. Si el autor del delito de Violación es un hombre y la víctima una mujer, el delito tendrá el nombre de violación con femicidio.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30119,Otras formas de violación,alta,"El delito CNP se describe como violación con homicidio o femicidio, lo que se alinea con la glosa de 30119 (Otras formas de violación), que incluye violación con consecuencias adicionales. La sección ICCS (Actos lesivos de naturaleza sexual) es compatible con el marco del delito. Además, la nota 80 de 30119 define la penetración sexual, lo cual es relevante para la violación. No hay exclusiones que descarten este delito.",
629,Producción material pornográfico utilizando menores de 18 años,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30221,Pornografía infantil,alta,"El delito CNP se refiere a la producción de material pornográfico utilizando menores, lo cual se incluye en la glosa de 30221 (pornografía infantil). La inclusión menciona la producción de pornografía infantil, lo que coincide directamente con el delito descrito. Además, el código 8022 (delitos de pornografía) excluye explícitamente la pornografía infantil, lo que descarta su aplicación.","Pornografía infantil (030221); captación o persuasión de una persona para que se dedique a la prostitución, o explotación de prostitutas (0302); aplicar todas las exclusiones enumeradas en 0802"
630,Comercialización material pornográfico elaborado usando menores de 18 años,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30221,Pornografía infantil,alta,"El delito CNP implica la comercialización de material pornográfico elaborado usando menores de 18 años, lo cual se ajusta directamente a la definición de pornografía infantil en el código ICCS 30221. Este código incluye la producción, distribución y posesión de pornografía infantil, lo cual coincide con el móvil del delito descrito. Además, el código 30221 excluye a los delitos de pornografía general (08022), lo cual no aplica en este caso.",exclusiones de 08022 (delitos de pornografía)
631,Adquisición o almacenamiento material pornográfico infantil,,"CRÍMENES Y SIMPLES DELITOS CONTRA EL ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30221,Pornografía infantil,alta,"El delito CNP se refiere a la adquisición o almacenamiento de material pornográfico infantil, lo cual se alinea directamente con la definición de 'Pornografía infantil' en el ICCS 30221. La inclusión del ICCS 30221 menciona la posesión de pornografía infantil, lo que coincide con el delito nacional. Además, el ICCS 30221 excluye explícitamente los delitos de pornografía (08022), lo que confirma que el delito CNP no se clasifica bajo esa categoría.",Delitos de pornografía (08022)
632,Obtención de servicios sexuales de menores,"Se refiere al que a cambio de dinero u otras prestaciones de cualquier naturaleza, obtuviere servicios sexuales por parte de personas mayores de catorce pero menores de dieciocho años de edad sin que medien las circunstancias de los delitos de violación o estupro.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30222,Prostitución infantil,alta,"El delito CNP se refiere a la obtención de servicios sexuales de menores, lo cual coincide directamente con la definición de 'Prostitución infantil' en el ICCS 30222. La inclusión de 'pago por los servicios sexuales de un menor' y la exclusión de delitos de violación o estupro confirman la compatibilidad. La sección ICCS 'Actos lesivos de naturaleza sexual' también se alinea con el marco del delito.",Explotación de una persona para que se dedique a la prostitución o explotación de prostitutas (0302); prostitución infantil (030222)
633,Abuso sexual calificado (con introducción de objetos o uso de animales),"Se refiere a una acción sexual consistente en la introducción de objetos de cualquier índole por vía vaginal, anal o bucal o la utilización de animales en ello.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",302,Explotación sexual,alta,"El delito CNP describe una acción sexual con introducción de objetos o uso de animales, lo que se alinea con la definición de 'explotación sexual' en el ICCS 302, que abarca actos de abuso de una situación de vulnerabilidad o uso de la fuerza para sacar provecho mediante actos sexuales. Además, el ICCS 302 excluye delitos como la violación (03011) y otros actos no relacionados con explotación sexual, lo que confirma su relevancia.","Violación (03011); violencia sexual (0301); delitos de prostitución, delitos de pornografía y otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público, como el incesto y el exhibicionismo (0802); abuso de funciones (07033); agresiones y amenazas (0201); esclavitud y explotación que no equivalen a actos lesivos de naturaleza sexual (0203); trata de personas con fines de explotación sexual (02041); hostigamiento y acoso (0207); delitos en razón de la condición de menor de edad (11021)"
634,Abuso sexual de mayor de 14 años y menor de 18 años con circunstancia de estupro,"El que abusivamente realiza una acción sexual distinta del acceso carnal con una persona mayor de 14 años y menor de 18 años, cuando el abuso consiste en la concurrencia de alguna de las circunstancias del estupro. Se entiende por acción sexual cualquier acto de significación sexual y de relevancia realizado mediante contacto corporal con la víctima o que haya afectado los genitales, el ano o la boca de la víctima aun cuando no hubiere contacto corporal con ella.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30229,Otras formas de explotación sexual de menores,alta,"El delito CNP describe un abuso sexual con circunstancia de estupro, lo que se alinea con la explotación sexual de menores descrita en el código 30229. La glosa del código incluye 'actos impúdicos con un menor', que coincide con la definición del delito CNP. Además, el código 30229 está diseñado para cubrir casos de explotación sexual de menores no descritos en otras categorías.",aplicar todas las exclusiones enumeradas en 03022
635,Abuso sexual de mayor de 14 (con circunstancias de violación),"El que abusivamente realiza una acción sexual distinta del acceso carnal con una persona mayor de 14 años, cuando el abuso consiste en la concurrencia de alguna de las circunstancias de la violación. Se entiende por acción sexual cualquier acto de significación sexual y de relevancia realizado mediante contacto corporal con la víctima o que haya afectado los genitales, el ano o la boca de la víctima aun cuando no hubiere contacto corporal con ella.","CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",30119,Otras formas de violación,alta,"El delito CNP describe un abuso sexual con circunstancias de violación, lo que se alinea con la definición de 'Otras formas de violación' en el ICCS 30119. Este código abarca violaciones no descritas en otras categorías y se ajusta al marco legal del delito CNP, que incluye la penetración sexual sin consentimiento válido. No se aplican exclusiones que descarten este código.",
636,Aborto cometido por facultativo por causales no reguladas,Sanciona al facultativo que abusando de su oficio causa un aborto o coopera a él.,"CONTRA ORDEN DE LAS FAMILIAS, MORALIDAD PÚBLICA Y LA INTEGRIDAD SEXUAL",106,Feticidio ilegal,alta,"El delito CNP se refiere a un aborto cometido por un facultativo por causales no reguladas, lo cual se ajusta a la definición de feticidio ilegal en el ICCS 106, que incluye el aborto ilegal. La exclusión de aborto legal no aplica en este caso, ya que el delito se basa en causales no reguladas.",Aborto legal/feticidio legal
