cnp_codigo,cnp_glosa,iccs_elegido,iccs_glosa_elegida,confianza
7031,Producción y tráfico por desvío de precursores,60124,Desviación ilícita de precursores no destinados al consumo personal,alta
7032,Suministro indebido de drogas,6012,"Tráfico, cultivo o producción ilícitos de drogas o precursores sujetos a fiscalización no destinados al consumo personal",alta
7033,"Prescripción médica abusiva de drogas, estupefacientes o sicotrópicas",6019,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,alta
7034,Suministro de hidrocarburos aromáticos a menores,11021,Delitos en razón de la condición de menor de edad,alta
7035,Consumo de drogas (art. 41),60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7036,Porte de drogas,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7037,Microtráfico (tráfico de pequeñas cantidades),60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7038,Consumo o porte en lugares públicos o privados con previo concierto,602,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización",alta
7039,Consumo o porte de drogas en lugares calificados,6011,"Posesión, adquisición, utilización, cultivo o producción ilícitos de drogas sujetas a fiscalización para consumo personal",alta
7042,Facilitación de bienes al tráfico de drogas,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7043,Tolerancia al tráfico o consumo de drogas,6012,"Tráfico, cultivo o producción ilícitos de drogas o precursores sujetos a fiscalización no destinados al consumo personal",alta
7044,Tráfico de especies vegetales,1003,Comercio o posesión de especies protegidas o prohibidas de la fauna y la flora,alta
7045,Omisión de denunciar por funcionario público,703,Corrupción,alta
7046,Delitos cometidos por personal militar y gente de mar,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7047,Conspiración de Ley 20.000,8064,Conspiración,alta
7048,"Negativa injustificada de notarios, conservadores y archiveros a entregar copia de instrumentos y datos",NINGUNO,,alta
7049,Difusión de identidad de testigos protegidos,8061,Obstrucción de la justicia,alta
7050,Uso malicioso de identidad anterior,7019,Otros actos de fraude,alta
7051,"Violación de secreto parcial de la investigación y de la identidad de agentes encubiertos, agentes reveladores, etc.",904,Actos contra la seguridad del Estado,alta
7052,Violación del secreto absoluto de la investigación,601,Actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,alta
7053,"Abandonar en lugar de fácil acceso plantas, semillas u otras",1003,Comercio o posesión de especies protegidas o prohibidas de la fauna y la flora,alta
7054,Suministro de estupefacientes sin consentimiento,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7098,Otras faltas a la Ley 19.366,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
7099,Otros delitos de la Ley 20.000,60121,Tráfico ilícito de drogas sujetas a fiscalización no destinadas al consumo personal,alta
8001,Delitos contra Ley de Propiedad Industrial,503,Delitos contra la propiedad intelectual,alta
8002,Delitos marcarios,503,Delitos contra la propiedad intelectual,alta
8003,Demás delitos contra Ley de Propiedad Industrial,503,Delitos contra la propiedad intelectual,alta
9001,Delitos contra Ley de Propiedad Intelectual,503,Delitos contra la propiedad intelectual,alta
9002,Falsificación de obras protegidas por Ley de Propiedad Intelectual,503,Delitos contra la propiedad intelectual,alta
9003,Venta ilícita de obras protegidas por Ley de Propiedad Intelectual,503,Delitos contra la propiedad intelectual,alta
9004,Utilización sin autorización de obras de dominio ajeno por Ley de Propiedad Intelectual,503,Delitos contra la propiedad intelectual,alta
9005,"Inducir, permitir, facilitar u ocultar una infracción de los derechos de autor o conexos Art. 81 ter Ley 17.336",503,Delitos contra la propiedad intelectual,alta
9099,Demás delitos contemplados en la Ley de Propiedad Intelectual,503,Delitos contra la propiedad intelectual,alta
10001,"Posesión, tenencia o porte de armas sujetas a control",9011,Posesión o uso de armas y explosivos,alta
10004,"Porte ilegal de arma de fuego, municiones y otros sujetas a control",90111,Posesión o uso ilícitos de armas de fuego,alta
10005,Adquisición y venta indebida de cartuchos y municiones. Art. 9 A Ley 17.798,9012,Tráfico de armas y explosivos,alta
10006,Violación de reserva base de datos s/inscrip.y reg. de arma,9011,Posesión o uso de armas y explosivos,alta
10007,Abandono de armas o elementos sujetas a control,9011,Posesión o uso de armas y explosivos,alta
10008,Porte de arma prohibida,90111,Posesión o uso ilícitos de armas de fuego,alta
10009,Posesión o tenencia de armas prohibidas,90111,Posesión o uso ilícitos de armas de fuego,alta
10010,Tráfico de armas,9012,Tráfico de armas y explosivos,alta
10011,"Posesión, tenencia o porte de municiones y sustancias químicas",9011,Posesión o uso de armas y explosivos,alta
10012,"Porte de arma de guerra, química, biológica o nuclear",901,"Actos relacionados con armas, explosivos y otros materiales destructivos",alta
10013,"Posesión o tenencia de armas de guerra, química, biológica o nuclear",90113,"Posesión o uso ilícitos de materiales químicos, biológicos o radiactivos",alta
10014,Entrega o puesta a disposición de armas a menores,11029,Otros actos contrarios a las leyes u otras disposiciones sobre menores,alta
10015,Colocación de bomba o artefacto,901,"Actos relacionados con armas, explosivos y otros materiales destructivos",alta
10016,Disparos injustificados en la vía pública,90111,Posesión o uso ilícitos de armas de fuego,alta
10017,"Organizar, pertenecer, financiar o colaborar con milicias privadas",908,Otros actos contra la seguridad pública y la seguridad del Estado,alta
10018,"Delitos referidos a la Ley sobre armas biológicas, químicas o toxínicas",90113,"Posesión o uso ilícitos de materiales químicos, biológicos o radiactivos",alta
10037,"Accionar fuegos artificiales, pirotécnicos o similares sin autorización",90119,Otros actos relacionados con posesión o uso de armas y explosivos,alta
10038,Posesión de fuegos artificiales,90119,Otros actos relacionados con posesión o uso de armas y explosivos,alta
10039,"Fabricación, elaboración, modificación, importación, exportación, adquisición de fuegos artificiales",90119,Otros actos relacionados con posesión o uso de armas y explosivos,alta
10040,Venta ilegal de cartuchos o municiones,9012,Tráfico de armas y explosivos,alta
10041,Entrega de arma o elementos a menores de edad,11021,Delitos en razón de la condición de menor de edad,alta
10042,Borrado del número de serie de arma o municiones,90119,Otros actos relacionados con posesión o uso de armas y explosivos,alta
10099,Otros delitos de la Ley de Control de Armas,90119,Otros actos relacionados con posesión o uso de armas y explosivos,alta
11001,Maltrato de obra personal de Investigaciones con o sin lesiones,219,Otros actos que causan daños o que tienen la intención de causar daños a las personas,alta
11002,Obtención declaraciones forzadas,20222,Retención ilegal,alta
11003,Causar la muerte a personal de la Policía de Investigaciones,101,Homicidio intencional,alta
11004,Amenazar simple o condicionalmente u ofender públicamente a personal de la Policía de Investigaciones,2012,Amenaza,alta
11005,"Falsificación de placas, tarjetas, timbres y sellos de Investigaciones",7023,Actos de falsificación de documentos,alta
11006,Falsificación de parte policial,8061,Obstrucción de la justicia,alta
11099,Otros delitos Ley Orgánica de Investigaciones,1109,Otros actos delictivos no clasificados en otra parte,alta
11101,Homicidio de gendarme en el desempeño de sus funciones,101,Homicidio intencional,alta
11102,Maltrato de obra a gendarme en el desempeño de sus funciones,2011,Agresión,alta
11103,Amenaza a gendarme en el desempeño de sus funciones,2012,Amenaza,alta
11104,Ingreso ilegítimo de aparatos de comunicaciones y tecnológicos a centros penitenciarios,9033,Interceptación o acceso ilícitos a datos informáticos,alta
12010,Infracción Ley Mataderos Clandestinos,10091,Actos contra los animales,alta
12020,Infracción Ley 18.892 de Pesca,10042,"Caza, pesca o recolección ilegales de fauna y flora silvestres",alta
12021,Infracción por contaminación,10012,Actos que causan la contaminación o degradación del agua,alta
12022,Otras infracciones Ley de Pesca,10042,"Caza, pesca o recolección ilegales de fauna y flora silvestres",alta
12023,Pesca ilegal,10042,"Caza, pesca o recolección ilegales de fauna y flora silvestres",alta
12030,Infracción L.O.C del Banco Central,704,Actos relacionados con el producto del delito,alta
12031,Falsificación de dinero Art. 64 Ley 18.840 del Banco Central,70211,Falsificación de medios de pago en efectivo,alta
12032,Otras infracciones a la Ley del Banco Central,11029,Otros actos contrarios a las leyes u otras disposiciones sobre menores,alta
12040,Infracción Ley 18.175 de Quiebras,1102,Actos contrarios a las leyes u otras disposiciones sobre menores,alta
12050,Infracción Ordenanza de Aduanas,8041,Actos contrarios a las disposiciones relativas a los ingresos públicos,alta
12051,Contrabando. Infracción a la Ordenanza de Aduanas,8044,Contrabando de bienes,alta
12052,Fraude aduanero. Infracción a la Ordenanza de Aduanas,702,Falsificación,alta
12053,Receptación aduanera. Infracción a la Ordenanza de Aduanas,7049,Otros actos relacionados con el producto del delito,alta
12054,Otras infracciones a la Ordenanza de Aduanas Ley 20.780,8041,Actos contrarios a las disposiciones relativas a los ingresos públicos,alta
12055,Contrabando de especies exóticas,100312,Tráfico transfronterizo de especies protegidas,alta
12056,Contrabando de dinero,8044,Contrabando de bienes,alta
12060,Infracción artículo 74 bis b) del C.P.P (secreto sumario),1102,Actos contrarios a las leyes u otras disposiciones sobre menores,alta
12071,Otorgamiento irregular de documentos,7023,Actos de falsificación de documentos,alta
12072,Falsificación de licencia de conducir y otras falsificaciones,7023,Actos de falsificación de documentos,alta
12073,Accidente con resultado de muerte o lesiones graves,10321,Homicidio por tránsito vehicular,alta
12074,Conducción sin la licencia debida,907,Infracciones de tráfico no lesivas,alta
12075,Conducción bajo la influencia del alcohol,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
12076,Instalación indebida de señales del tránsito o barreras,907,Infracciones de tráfico no lesivas,alta
12077,No dar cuenta de accidente de tránsito,907,Infracciones de tráfico no lesivas,alta
12078,Conducción bajo la influencia del alcohol con o sin daños o lesiones leves,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
12079,Conducción bajo la influencia del alcohol causando lesiones menos graves,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
12080,Conducción bajo la influencia del alcohol causando lesiones graves,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
12081,Maltrato de obra a Carabineros,201,Agresiones y amenazas,alta
12082,Amenazas a Carabineros,2012,Amenaza,alta
12083,Conducción bajo la influencia del alcohol causando lesiones graves gravísimas o muerte,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
12086,Matar a Carabinero en ejercicio de sus funciones,101,Homicidio intencional,alta
12087,"Traición, espionaje y demás delitos contra la soberanía y seguridad exterior del Estado",904,Actos contra la seguridad del Estado,alta
12088,Uso de uniforme o insignias de Fuerzas Armadas o Carabineros de Chile,9011,Posesión o uso de armas y explosivos,alta
12089,Otras infracciones al Código Justicia Militar,NINGUNO,,baja
12090,Delitos contenidos en la Ley de Adopción de Menores,20291,Adopción ilegal,alta
12100,Delitos contenidos en el D.L 1.094 de extranjería,8059,Otros actos ilícitos relacionados con la migración,alta
12110,Delitos de la Ley 4.702 de compraventa bienes a plazo,7049,Otros actos relacionados con el producto del delito,alta
12120,Delitos contemplados en la Ley antimonopolios,1102,Actos contrarios a las leyes u otras disposiciones sobre menores,alta
12121,"Extranjeros que ingresan o intentan egresar del país con documentos falsificados, adulterados o a nombre de otro",8059,Otros actos ilícitos relacionados con la migración,alta
12122,Extranjeros que ingresan o intentan egresar del país clandestinamente,8059,Otros actos ilícitos relacionados con la migración,alta
12123,Robo o hurto de material de guerra,401,Robo,alta
12124,Adquisición material de guerra o vestuario instituciones armadas,9011,Posesión o uso de armas y explosivos,alta
12125,Falsedades,7021,Falsificación de medios de pago,alta
12130,Reconocimiento malicioso de posesión regular,7049,Otros actos relacionados con el producto del delito,alta
12131,Vigilancia privada no autorizada,9033,Interceptación o acceso ilícitos a datos informáticos,alta
12132,"Infracción Ley General de Telecomunicaciones Letras A,B,C,D,G y F (excluye la Letra E)",9033,Interceptación o acceso ilícitos a datos informáticos,alta
12133,Lavado de dinero persona natural,7041,Blanqueo de dinero,alta
12134,Otras infracciones a la Ley 19.913,1102,Actos contrarios a las leyes u otras disposiciones sobre menores,alta
12135,Infracción a la Ley Mercado de Valores,70112,Fraude financiero contra personas naturales o jurídicas,alta
12136,Enseñanza no autorizada de artes marciales,2011,Agresión,alta
12137,Corte o destrucción de árboles o arbustos,10041,Tala ilegal,alta
12138,Caza y comercialización de especies prohibidas,10032,Comercio o posesión de especies animales prohibidas o controladas,alta
12139,Infracciones al Código Aeronáutico,907,Infracciones de tráfico no lesivas,alta
12140,Tráfico de órganos (incluye provenientes de aborto),2043,Trata de personas con fines de extracción de órganos,alta
12141,Infracción al estatuto de capacitación y empleo,808,Actos contrarios al derecho laboral,alta
12142,Infracción en el otorgamiento prestaciones de salud,701,Fraude,alta
12143,Transporte o distribución de gas e instalaciones clandestinas,NINGUNO,,alta
12144,Interrupción de servicio eléctrico,504,Daños a la propiedad,alta
12145,Loteos irregulares,509,Otros actos contra la propiedad solamente,alta
12146,Infracción a la Ley Orgánica Constitucional sobre Votaciones Populares y Escrutinios,8071,Actos encaminados a influir indebidamente en los votantes en elecciones,alta
12147,Ejercicio irregular de martillero público,8019,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,alta
12148,Infracciones a la Ley de Seguridad Nuclear,90113,"Posesión o uso ilícitos de materiales químicos, biológicos o radiactivos",alta
12149,Desacato,8062,Incumplimiento de órdenes judiciales,alta
12150,Uso ilícito del fuego,1009,Otros actos contra el entorno natural,alta
12151,Uso malicioso de medios de pago u obtención maliciosa de devoluciones.  Art. 7° letras a) y b) Ley 20.009,70212,Falsificación de medios de pago distintos del efectivo,alta
12152,Delitos de la Ley 17.322 sobre cotizaciones,808,Actos contrarios al derecho laboral,alta
12153,Infracciones a la seguridad social,7033,Abuso de funciones,alta
12154,Daños o apropiación sobre monumentos nacionales Art. 38-38 bis Ley 17.288,8049,Otros actos contra la administración pública o contra disposiciones regulatorias,alta
12155,Infracción en la utilización de gas como combustible en vehículos,907,Infracciones de tráfico no lesivas,alta
12156,"Acceso, divulgación y uso indebido de información genética con ocasión de tratamiento de ADN",903,Actos contra sistemas informáticos,alta
12157,Obstrucción a la justicia con ocasión de tratamiento de ADN,8061,Obstrucción de la justicia,alta
12158,Delitos de la Ley de Sociedades Anónimas,701,Fraude,alta
12159,Delitos contenidos en Leyes de Prenda Especiales,1102,Actos contrarios a las leyes u otras disposiciones sobre menores,alta
12160,Fraudulenta atribución de la calidad de indígena,701,Fraude,alta
12161,Infracción a la Ley sobre Genoma Humano,2119,Otras transgresiones contra las personas,alta
12162,Incumplimiento malicioso en el pago pensiones alimenticias,804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta
12163,Delitos relativos al pago de pensiones alimenticias,7023,Actos de falsificación de documentos,alta
12170,Delitos contra la Ley de Bosque Nativo,1009,Otros actos contra el entorno natural,alta
12171,"Fabricación, acopio o comercialización de hilo curado",60222,"Producción, tráfico o distribución ilícitos de productos de tabaco",alta
12172,"Uso, facilitación o transporte de hilo curado",60229,"Otros actos ilícitos de producción, manipulación, posesión o uso de productos de tabaco",alta
12173,Asociación ilícita,7049,Otros actos relacionados con el producto del delito,alta
12174,Lavado de dinero persona jurídica,7041,Blanqueo de dinero,alta
12175,Infracción al deber de información de la Ley 19.913,701,Fraude,alta
12180,Revelación de información obtenida en aplicación monitoreo telemático,9033,Interceptación o acceso ilícitos a datos informáticos,alta
12181,Inutilización de dispositivo para monitoreo telemático,9032,Injerencia ilícita en sistemas o datos informáticos,alta
12182,Daños a monumentos nacionales,8049,Otros actos contra la administración pública o contra disposiciones regulatorias,alta
12183,Apropiación de monumentos nacionales,8049,Otros actos contra la administración pública o contra disposiciones regulatorias,alta
12184,Conducción bajo la influencia del alcohol causando lesiones graves gravísimas,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
12185,Conducción bajo la influencia del alcohol causando muerte,10321,Homicidio por tránsito vehicular,alta
12186,Comercialización o distribución de señal protegida de televisión,803,Actos relacionados con la libertad de expresión o el control de la expresión,alta
12187,Fraudes en transacciones electrónicas,7011,Fraude financiero,alta
12188,Obtención simulada o engañosa de beneficios para cuidadores de niños o niñas durante la pandemia del Covid-19,701,Fraude,alta
12189,Uso malicioso de recetas médicas digitales,6019,Otros actos ilícitos relacionados con drogas o precursores sujetos a fiscalización,alta
12190,Acuerdos abusivos del directorio de S.A,8042,Actos contrarios a disposiciones comerciales o financieras,alta
12200,Delitos de la Ley 18.450 sobre riego o drenaje,702,Falsificación,alta
12201,"Uso malicioso de tarjeta, clave o dispositivo financiero",7011,Fraude financiero,alta
12202,Obtención maliciosa o restitución de los fondos de operaciones reclamadas,7011,Fraude financiero,alta
12203,Empleo de violencia innecesaria,110139,Otros crímenes de guerra,alta
12999,Delitos contemplados en otros textos legales,1109,Otros actos delictivos no clasificados en otra parte,alta
13001,Lesiones leves,20112,Agresión leve,alta
13002,Faltas Código Penal conocidas por juzgados del crimen,704,Actos relacionados con el producto del delito,alta
13005,Consumo y otras faltas Ley de Drogas,60211,Posesión o uso ilícitos de productos alcohólicos,alta
13016,Infracción a la Ley Electoral,8079,Otros actos relacionados con las elecciones democráticas,alta
13017,Infracción a la Ley 16.643 de Abusos de Publicidad,60219,"Otros actos ilícitos de producción, manipulación, posesión o uso de productos alcohólicos",alta
13018,Violencia en los estadios,8011,Delitos relacionados con la alteración violenta del orden público,alta
13021,Ofensas al pudor,8029,Otros actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
13022,Disensiones domésticas,809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta
13023,Alterar el orden público,8012,Actos relacionados con las normas y preceptos sociales y religiosos orientados al mantenimiento del orden público,alta
13024,Ocultación de identidad,7019,Otros actos de fraude,alta
13025,Dejar animales sueltos,10091,Actos contra los animales,alta
13026,Arrojamiento de piedras u otros objetos,2079,Otros actos peligrosos,alta
13027,Daño (falta),5041,Daños a bienes públicos,alta
13028,Hurto (falta),502,Hurto,alta
13030,Amenaza con arma (falta),2012,Amenaza,alta
13031,Falta de respeto a la autoridad pública,809,"Otros actos contra el orden público, la autoridad y las disposiciones del Estado",alta
13032,"Malversación, defraudación e incendio por menos de 1 UTM",7032,Malversación o peculado,alta
13033,Riña pública,8011,Delitos relacionados con la alteración violenta del orden público,alta
13034,Infracción a reglamento de carruajes públicos o particulares,907,Infracciones de tráfico no lesivas,alta
13035,Desórdenes en espectáculos públicos,8012,Actos relacionados con las normas y preceptos sociales y religiosos orientados al mantenimiento del orden público,alta
13036,Lesiones leves 494 nº 5 Código Penal,20112,Agresión leve,alta
13037,Caza y pesca con violencia,10042,"Caza, pesca o recolección ilegales de fauna y flora silvestres",alta
13038,Ganado que entra a predio ajeno causando daños,504,Daños a la propiedad,alta
13049,Obstrucción a la investigación de delito o infracción de la Ley de Violencia en los Estadios,8061,Obstrucción de la justicia,alta
13050,Lesiones a las personas o daño a la propiedad con motivo u ocasión de un espectáculo de fútbol profesional,207,Actos peligrosos,alta
13051,Otros delitos sobre Ley 19.327 sobre Violencia en los Estadios,8011,Delitos relacionados con la alteración violenta del orden público,alta
13052,Ocultación de identidad en control investigativo,7019,Otros actos de fraude,alta
13053,Ocultación de identidad en control preventivo,7019,Otros actos de fraude,alta
13096,Dirigir reuniones tumultuosas,8019,Otros actos contrarios a las normas de conducta orientadas al mantenimiento del orden público,alta
13097,Otras faltas Código Penal,1109,Otros actos delictivos no clasificados en otra parte,alta
13098,Otras faltas leyes especiales,1109,Otros actos delictivos no clasificados en otra parte,alta
13099,Otros que no dan motivo a ingreso de sumario,1109,Otros actos delictivos no clasificados en otra parte,alta
13100,Impedir ejercicio de funciones a inspectores municipales,7033,Abuso de funciones,alta
13101,Transporte de desechos a vertederos clandestinos,1002,Actos relacionados con el traslado o vertimiento de desechos,alta
13103,Perro potencialmente peligroso no inscrito,10032,Comercio o posesión de especies animales prohibidas o controladas,alta
13104,"Arrojar basura o desechos en playas, parques nacionales u otros",10021,Actos relacionados con el traslado o vertimiento de desechos dentro de las fronteras nacionales,alta
13105,Impedir acceso a playas,202,Actos contra la libertad,alta
13106,No informar domicilio por delitos sexuales (NNA),802,Actos contrarios a las normas de conducta sexual orientadas al mantenimiento del orden público,alta
14001,Conducción estado de ebriedad con resultado de muerte o lesiones graves gravísimas,10321,Homicidio por tránsito vehicular,alta
14002,Conducción estado de ebriedad con resultado de lesiones graves o menos graves,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
14003,Conducción estado de ebriedad con resultado de daños,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
14004,Conducción estado de ebriedad con suspensión de licencia,2072,Utilización de un vehículo bajo los efectos de sustancias psicoactivas,alta
14005,Negativa a efectuarse examen,2072,Utilización de un vehículo bajo los efectos de sustancias psicoactivas,alta
14006,Conducción estado ebriedad con resultado de muerte,10321,Homicidio por tránsito vehicular,alta
14007,Conducción estado ebriedad con resultado de lesiones graves gravísimas,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
14008,Conducción estado de ebriedad con resultado de lesiones graves,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
14009,Conducción estado ebriedad con resultado de lesiones menos graves,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
14020,Cuasidelito vehículo motorizado,2063,Negligencia relacionada con la conducción de un vehículo,alta
14021,Marcharse del sitio del suceso sin prestar auxilio a la víctima,2069,Otros actos de negligencia,alta
14022,Ocultamiento de placa patente,7023,Actos de falsificación de documentos,alta
14050,Otros delitos contra la ley de alcoholes,602,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización",alta
14051,Ebriedad,2072,Utilización de un vehículo bajo los efectos de sustancias psicoactivas,alta
14052,Conducción estado de ebriedad con o sin daños o lesiones leves,20721,Utilización de un vehículo bajo los efectos del alcohol,alta
14053,Expendio de bebidas alcohólicas,60212,"Producción, tráfico o distribución ilícitos de productos alcohólicos",alta
14054,Consumo de bebidas alcohólicas en la vía pública,602,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización",alta
14055,Reclamo de clausura,907,Infracciones de tráfico no lesivas,alta
14056,Atentado a vehículo motorizado en circulación con objeto contundente u otro semejante,40121,Robo de automóviles o vehículos,alta
14057,Conducir vehículo durante la vigencia de alguna sanción impuesta,907,Infracciones de tráfico no lesivas,alta
14060,Otros delitos contra la Ley de Tránsito,907,Infracciones de tráfico no lesivas,alta
14062,Falsificación medios de pago de transportes. Art. 196 quáter Ley 18.290,70212,Falsificación de medios de pago distintos del efectivo,alta
14063,Falsificación de medios de pago de transporte. Art. 196 quinquies Ley del Tránsito,70212,Falsificación de medios de pago distintos del efectivo,alta
14064,Comercialización de dispositivos falsificados,70212,Falsificación de medios de pago distintos del efectivo,alta
14065,Mal uso de información de medios tecnológicos de transporte público,90322,Injerencia ilícita en datos informáticos,alta
14066,Lesionar o amenazar a fiscalizador de transportes,907,Infracciones de tráfico no lesivas,alta
14087,Conducción en carreras no autorizadas con o sin daños o lesiones leves,907,Infracciones de tráfico no lesivas,alta
14088,Conducción en carreras no autorizadas causando lesiones menos graves o graves,2063,Negligencia relacionada con la conducción de un vehículo,alta
14089,Conducción en carreras no autorizadas causando lesiones gravísimas o la muerte,10321,Homicidio por tránsito vehicular,alta
14090,Organizar carreras no autorizadas,907,Infracciones de tráfico no lesivas,alta
14091,Facilitar vehículos motorizados para la participación en carreras clandestinas,50212,Utilización ilegal de vehículos terrestres de motor,alta
14092,Sobrepasar en 60 km/h los límites fijados de velocidad máxima,907,Infracciones de tráfico no lesivas,alta
14099,Otras faltas contra la Ley de Alcoholes,602,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización",alta
15001,Ley 18.314 de Conductas Terroristas,906,Terrorismo,alta
15002,Crímenes y simples delitos seguridad interior del Estado,904,Actos contra la seguridad del Estado,alta
15003,Crímenes y simples delitos contra la soberanía nacional y seguridad exterior del Estado,904,Actos contra la seguridad del Estado,alta
15007,Delitos de la Ley de Seguridad Interior del Estado contra el orden público y la normalidad de las actividades nacionales,8012,Actos relacionados con las normas y preceptos sociales y religiosos orientados al mantenimiento del orden público,alta
16400,Difusión indebida de entrevista videograbada,11029,Otros actos contrarios a las leyes u otras disposiciones sobre menores,alta
16401,Peleas de animales como espectáculos,10091,Actos contra los animales,alta
16402,Delitos del D.L. 3538 de 1979 que regula mercado financiero,8042,Actos contrarios a disposiciones comerciales o financieras,alta
16403,Asociación ilícita para comercio ilegal,503,Delitos contra la propiedad intelectual,alta
17001,Delitos que comprometen relaciones internacionales,11013,Crímenes de guerra,alta
18001,Expendio de bebidas alcohólicas a menores,11021,Delitos en razón de la condición de menor de edad,alta
18002,Otorgamiento de patentes de alcoholes,602,"Actos ilícitos relacionados con bebidas alcohólicas, tabaco u otras sustancias sujetas a fiscalización",alta
18003,Divulgación de datos militantes de partidos políticos,80329,Otros actos relacionados con expresiones de creencias y normas sociales controladas,alta
20001,"Envío de explosivos, homicidio, lesiones y secuestros terroristas",906,Terrorismo,alta
20002,Apoderamiento o atentado al transporte público,906,Terrorismo,alta
20003,Atentado terrorista contra Jefe de Estado o autoridad pública,906,Terrorismo,alta
20004,Atentado terrorista explosivo o incendiario,906,Terrorismo,alta
20005,Asociación ilícita terrorista,906,Terrorismo,alta
20006,Recaudar o proveer fondos para la comisión de delitos terroristas por persona natural. Art. 8 Ley 18.314,9062,Financiación del terrorismo,alta
20007,Recaudar o proveer fondos para la comisión de delitos terroristas por persona jurídica,9062,Financiación del terrorismo,alta
20017,Terrorismo individual que adhiere a los fines,906,Terrorismo,alta
20018,Terrorismo individual sin adherencia,906,Terrorismo,alta
20019,Favorecer acciones terroristas,906,Terrorismo,alta
20020,Proveer o recolectar fondos para la comisión de delitos terroristas,9062,Financiación del terrorismo,alta
20021,Conspiración terrorista,906,Terrorismo,alta
20022,Incitación terrorista,906,Terrorismo,alta
20099,Otros Ley 18.314,9069,Otros actos relacionados con las actividades de un grupo terrorista,alta
21001,Injurias y calumnias por medios de comunicación social,209,Difamación o insulto,alta
21002,Ultraje público a las buenas costumbres por medios de comunicación social,80329,Otros actos relacionados con expresiones de creencias y normas sociales controladas,alta
21003,Divulgación de identidad de menores por medios de comunicación social,11021,Delitos en razón de la condición de menor de edad,alta
21099,Otras faltas y delitos de la Ley 19.733,80322,Violaciones de las normas sobre intolerancia e incitación al odio,alta
22100,Maltrato habitual (violencia intrafamiliar),3012,Agresión sexual,alta
22101,Incumplimiento reiterado de pago de pensión alimenticia,8062,Incumplimiento de órdenes judiciales,alta
22200,Crímenes lesa humanidad y genocidio Ley 20.357,11015,Crímenes de lesa humanidad,alta
22300,Ley Responsabilidad Penal Personas jurídicas Ley 20.393,804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta
22400,Infracciones a la Ley de Administración Provisional de Sostenedores Educacionales,8049,Otros actos contra la administración pública o contra disposiciones regulatorias,alta
22401,Infracciones al sistema de aseguramiento de la calidad de la educación (lucro en la educación),804,Actos contrarios a las disposiciones relativas a los ingresos públicos u otras disposiciones regulatorias,alta
22403,Desempeñar funciones de vigilantes privados fuera de los casos contemplados en esta ley.,9011,Posesión o uso de armas y explosivos,alta
22404,Infracción para servidores públicos por divulgación de información reservada,903,Actos contra sistemas informáticos,alta
22405,Infracción al deber de reserva,9033,Interceptación o acceso ilícitos a datos informáticos,alta
22410,Ocultación o entrega de información falsa a Fiscalía Nacional Económica,701,Fraude,alta
22411,Colusión,8045,Manipulación del mercado o utilización indebida de información privilegiada,alta
22412,Tráfico de residuos peligrosos (Ley 20.920),10022,Actos relacionados con el traslado o vertimiento transfronterizos de desechos,alta
22413,Falsificación de rótulos o certificados,702,Falsificación,alta
22499,Otros delitos D.L. 211,11021,Delitos en razón de la condición de menor de edad,alta
22500,Infracciones a la inversión extranjera directa en Chile. Ley 20.848,701,Fraude,alta
22600,Desatender el llamado a reclutamiento D.L. 2306,8062,Incumplimiento de órdenes judiciales,alta
22601,Remisos (reclutamiento) D.L.2306,904,Actos contra la seguridad del Estado,alta
