"codigo_iccs","glosa_iccs","descripcion","inclusiones","exclusiones","notas"
"110132","Destrucción o daños ilícitos a la propiedad en relación con conflictos armados","Actos que provocan una amplia destrucción o grandes daños a bienes, que no estén justificados por necesidades militares, y que se lleven a cabo ilícita y arbitrariamente en conflictos armados según lo expresado en el Estatuto de Roma y en los Convenios de Ginebra (1949).","Daños intencionales que sean excesivos en relación con la ventaja militar directa; daños graves y a largo plazo o destrucción del entorno natural; atacar o bombardear pueblos, aldeas, viviendas o edificios que no estén defendidos y que no sean objetivos militares; ataques intencionales contra edificios dedicados a la religión, la instrucción, las artes, las ciencias o la beneficencia, los monumentos históricos o los hospitales, que no sean objetivos militares; pillaje","Daños a la propiedad que no constituyen crímenes de guerra (0504)",""
"110133","Violencia sexual relacionada con conflictos armados","Los actos de naturaleza sexual que se utilizan como táctica de guerra según lo expresado en el Estatuto de Roma y en los Convenios de Ginebra (1949).","Casos de violación, esclavitud sexual, prostitución forzada, embarazo forzado, esterilización forzada o cualquier otra forma de violencia sexual relacionada con conflictos armados y que constituya una grave infracción de los Convenios de Ginebra","Violencia sexual que no equivale a crimen de guerra (0301); explotación sexual que no equivale a crimen de guerra (0302)",""
"110134","Actos contra la libertad o la dignidad humana en relación con conflictos armados","Actos encaminados a privar a un prisionero de guerra o a otras personas protegidas de su libertad o su dignidad humana según lo expresado en el Estatuto de Roma y en los Convenios de Ginebra (1949).","Privar intencionalmente a un prisionero de guerra o a otras personas protegidas del derecho a un juicio imparcial y ordinario; deportación o traslado ilegal o confinamiento ilícito; toma de rehenes; comisión de ultrajes contra la dignidad de las personas (incluido el trato inhumano o degradante)","Actos contra la libertad que no equivalen a crímenes de guerra (0202)",""
"110135","Reclutamiento o alistamiento de niños como soldados","Actos encaminados a hacer que niños menores de 15 años se conviertan en combatientes según lo expresado en el Estatuto de Roma y en los Convenios de Ginebra (1949).","Reclutamiento o alistamiento de niños menores de 15 años en las fuerzas armadas nacionales o su utilización como participantes activos en las hostilidades","Esclavitud y explotación que no equivalen a crímenes de guerra (0203); trabajo forzoso para el Estado o las fuerzas armadas (020323)",""
"110139","Otros crímenes de guerra","Otros actos descritos en el Estatuto de Roma y en los Convenios de Ginebra (1949).","Uso de veneno o armas envenenadas; empleo de armas, proyectiles, materiales y métodos de guerra que, por su propia naturaleza, causen daños superfluos o sufrimientos innecesarios","",""
"11014","Genocidio","El genocidio se refiere, como mínimo, a actos perpetrados con la intención de destruir, total o parcialmente, a un grupo nacional, étnico, racial o religioso, como tal: matanza de miembros del grupo; lesión grave a la integridad física o mental de los miembros del grupo; sometimiento intencional del grupo a condiciones de existencia que hayan de acarrear su destrucción física, total o parcial; medidas destinadas a impedir nacimientos en el seno del grupo; y traslado por la fuerza de niños del grupo a otro grupo.","Actos incluidos en el artículo 6 del Estatuto de Roma","",""
"11015","Crímenes de lesa humanidad","Los crímenes de lesa humanidad abarcan, como mínimo, delitos como asesinato, exterminación, violación, persecución y todos los demás actos inhumanos de carácter similar (causar intencionalmente profundos sufrimientos o graves daños corporales o a la salud mental o física), cometidos ""como parte de un ataque generalizado o sistemático contra una población civil y con conocimiento de dicho ataque"".","Actos incluidos en el artículo 7 del Estatuto de Roma","",""
"11016","Crimen de agresión","Por crimen de agresión se entiende la planificación, preparación, iniciación o realización de un acto de agresión que, por sus características, gravedad y escala, constituya una violación manifiesta de la Carta de las Naciones Unidas, por una persona que ocupe un cargo que de hecho le permita controlar o dirigir efectivamente las acciones políticas o militares de un Estado.","Actos incluidos en el artículo 8 del Estatuto de Roma modificado 2010","",""
"11019","Otros actos bajo jurisdicción universal","Actos bajo jurisdicción universal no descritos ni clasificados en las categorías 11011 a 11016.","Formación de grupos con la intención de cometer actos bajo jurisdicción universal","",""
"1102","Actos contrarios a las leyes u otras disposiciones sobre menores","Actos ilícitos que se definen en leyes y reglamentos específicos que se refieran a los menores.","Aplicar todas las inclusiones enumeradas en 11021 a 11029","Actos lesivos de naturaleza sexual (03)",""
"11021","Delitos en razón de la condición de menor de edad","Actos ilícitos que la ley solamente considera delitos debido a la edad de los transgresores, cometidos por menores o por adultos en relación con menores.","Infracciones del toque de queda; infracciones relacionadas con el consumo de alcohol por menores; venta de alcohol o tabaco a menores; contribuir a la delincuencia de menores; violación de las leyes relacionadas con la asistencia obligatoria a las escuelas/ausentismo escolar; matrimonio a edad temprana","Aplicar todas las exclusiones enumeradas en 1102",""
"11029","Otros actos contrarios a las leyes u otras disposiciones sobre menores","Actos contrarios a las leyes u otras disposiciones sobre menores no descritos ni clasificados en 11021.","","Aplicar todas las exclusiones enumeradas en 1102",""
"1109","Otros actos delictivos no clasificados en otra parte","Actos que se consideren delitos y se definan en el derecho nacional y no estén descritos ni clasificados en las categorías 1101 y 1102.","","Aplicar todas las exclusiones enumeradas en 1101 y 1102",""
